treatment,treatment_slug,diagnosis_category,diagnosis_slug,decisions,overturned,overturn_rate,year_min,year_max,medical_necessity,experimental,urgent,decisions_last_5y,overturned_last_5y,apellica_page
Laser Surgery,laser-surgery,Skin Disorders,skin-disorders,5,2,0.4000,2002,2004,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/laser-surgery/skin-disorders
Hearing Test,hearing-test,Ears/Nose/Throat,ears-nose-throat,5,4,0.8000,2005,2022,4,1,0,1,1,https://apellica.com/appeal-outcomes/california-imr/hearing-test/ears-nose-throat
Hyperbaric O2 Chamb,hyperbaric-o2-chamb,Orth/Musculoskeletal,orth-musculoskeletal,5,1,0.2000,2003,2022,4,1,0,2,0,https://apellica.com/appeal-outcomes/california-imr/hyperbaric-o2-chamb/orth-musculoskeletal
Psychological Evaluation,psychological-evaluation,Autism Spectrum,autism-spectrum,5,0,0.0000,2020,2024,5,0,0,4,0,https://apellica.com/appeal-outcomes/california-imr/psychological-evaluation/autism-spectrum
Inpt Admission,inpt-admission,Immuno Disorders,immuno-disorders,5,2,0.4000,2009,2021,5,0,0,1,1,https://apellica.com/appeal-outcomes/california-imr/inpt-admission/immuno-disorders
Wheelchair,wheelchair,Pediatrics,pediatrics,5,3,0.6000,2014,2020,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/wheelchair/pediatrics
Stem Cell Transplant,stem-cell-transplant,Orth/Musculoskeletal,orth-musculoskeletal,5,0,0.0000,2019,2023,2,3,0,3,0,https://apellica.com/appeal-outcomes/california-imr/stem-cell-transplant/orth-musculoskeletal
Acupuncture,acupuncture,Foot Disorder,foot-disorder,5,1,0.2000,2019,2024,5,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/acupuncture/foot-disorder
Genetic/Genomic Test,genetic-genomic-test,Ears/Nose/Throat,ears-nose-throat,5,4,0.8000,2020,2025,1,4,0,2,2,https://apellica.com/appeal-outcomes/california-imr/genetic-genomic-test/ears-nose-throat
Biopsy,biopsy,Skin Disorders,skin-disorders,5,2,0.4000,2010,2022,5,0,0,2,1,https://apellica.com/appeal-outcomes/california-imr/biopsy/skin-disorders
Clinical Trial,clinical-trial,Cancer,cancer,5,3,0.6000,2005,2023,0,5,0,1,1,https://apellica.com/appeal-outcomes/california-imr/clinical-trial/cancer
Revision Procedures,revision-procedures,Endocrine/Metabolic,endocrine-metabolic,5,2,0.4000,2020,2023,5,0,0,3,0,https://apellica.com/appeal-outcomes/california-imr/revision-procedures/endocrine-metabolic
Imaging Spine Pelvis,imaging-spine-pelvis,Musculoskeletal,musculoskeletal,5,1,0.2000,2026,2026,5,0,0,5,1,https://apellica.com/appeal-outcomes/california-imr/imaging-spine-pelvis/musculoskeletal
Ultrasound,ultrasound,Orth/Musculoskeletal,orth-musculoskeletal,5,1,0.2000,2018,2025,3,2,0,3,0,https://apellica.com/appeal-outcomes/california-imr/ultrasound/orth-musculoskeletal
Invest Tx Protocol,invest-tx-protocol,Immuno Disorders,immuno-disorders,5,3,0.6000,2004,2007,1,4,0,0,0,https://apellica.com/appeal-outcomes/california-imr/invest-tx-protocol/immuno-disorders
SCP Consult Refer,scp-consult-refer,Pediatrics,pediatrics,5,0,0.0000,2002,2014,4,0,1,0,0,https://apellica.com/appeal-outcomes/california-imr/scp-consult-refer/pediatrics
Incontinence Supplies,incontinence-supplies,Autism Spectrum,autism-spectrum,5,4,0.8000,2021,2025,5,0,0,5,4,https://apellica.com/appeal-outcomes/california-imr/incontinence-supplies/autism-spectrum
Anti-inflammatories,anti-inflammatories,Genetic Diseases,genetic-diseases,5,4,0.8000,2007,2025,4,1,0,4,4,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/genetic-diseases
Acupuncture,acupuncture,Cardiac/Circ Problem,cardiac-circ-problem,5,0,0.0000,2010,2022,5,0,0,2,0,https://apellica.com/appeal-outcomes/california-imr/acupuncture/cardiac-circ-problem
Hi-Int Focused Ultrasnd (HIFU),hi-int-focused-ultrasnd-hifu,Cancer,cancer,5,1,0.2000,2025,2025,3,2,0,5,1,https://apellica.com/appeal-outcomes/california-imr/hi-int-focused-ultrasnd-hifu/cancer
Pain Mgmt Prog,pain-mgmt-prog,Chron Pain Synd,chron-pain-synd,5,1,0.2000,2008,2018,4,1,0,0,0,https://apellica.com/appeal-outcomes/california-imr/pain-mgmt-prog/chron-pain-synd
Inpt Discharge,inpt-discharge,Cancer,cancer,5,2,0.4000,2006,2023,5,0,0,1,1,https://apellica.com/appeal-outcomes/california-imr/inpt-discharge/cancer
Incontinence Supplies,incontinence-supplies,GU/ Kidney Disorder,gu-kidney-disorder,5,2,0.4000,2020,2025,5,0,0,4,2,https://apellica.com/appeal-outcomes/california-imr/incontinence-supplies/gu-kidney-disorder
Inpt Trnsf to LLC,inpt-trnsf-to-llc,Cardiac/Circ Problem,cardiac-circ-problem,5,2,0.4000,2007,2024,5,0,0,2,1,https://apellica.com/appeal-outcomes/california-imr/inpt-trnsf-to-llc/cardiac-circ-problem
Hormones,hormones,Cancer,cancer,5,3,0.6000,2003,2019,3,2,0,0,0,https://apellica.com/appeal-outcomes/california-imr/hormones/cancer
Skill Nsg Vsts,skill-nsg-vsts,Digestive System/ GI,digestive-system-gi,5,2,0.4000,2002,2016,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/skill-nsg-vsts/digestive-system-gi
Inpt Discharge,inpt-discharge,Endocrine/Metabolic,endocrine-metabolic,5,0,0.0000,2013,2025,5,0,0,3,0,https://apellica.com/appeal-outcomes/california-imr/inpt-discharge/endocrine-metabolic
Implant Removal,implant-removal,Post Surgical Comp,post-surgical-comp,5,1,0.2000,2019,2022,5,0,0,1,0,https://apellica.com/appeal-outcomes/california-imr/implant-removal/post-surgical-comp
Anti-inflammatories,anti-inflammatories,Foot Disorder,foot-disorder,5,2,0.4000,2008,2018,5,0,0,0,0,https://apellica.com/appeal-outcomes/california-imr/anti-inflammatories/foot-disorder
Ongoing OON Tx,ongoing-oon-tx,Digestive System/ GI,digestive-system-gi,5,1,0.2000,2005,2022,4,1,0,1,0,https://apellica.com/appeal-outcomes/california-imr/ongoing-oon-tx/digestive-system-gi
